DIRECCION,latitud,longitud,demanda
0,-33.0024865,-71.489226,0
1,-33.0077367,-71.54094,20
2,-32.9962143,-71.4952657,33
3,-33.0378782,-71.5592617,62
4,-32.9820725,-71.5372591,89
5,-33.0147382,-71.5472918,86
6,-33.0208415,-71.4873265,79
7,-32.9644172,-71.5195557,72
8,-33.0171203,-71.5001057,65
9,-33.0480792,-71.5315687,80
10,-33.0270829,-71.5158982,83
11,-33.0365731,-71.5401007,25
12,-33.0013575,-71.5205227,48
13,-33.0070111,-71.4956364,11
14,-32.9971982,-71.511871,54
15,-33.0539431,-71.5315151,77
16,-33.0258595,-71.5289295,65
17,-33.0299112,-71.5584717,88
18,-33.0346589,-71.5560955,36
19,-32.9899838,-71.5008752,14
20,-33.0055959,-71.5406474,86
