DIRECCION,latitud,longitud,demanda
"CARRETERA GENERAL SAN MARTIN 16500, COLINA., CHACABUCO, CHILE.",-33.204819900000004,-70.67646683719144,0
"SAN FRANCISCO DE BORJA 235, ESTACIÓN CENTRAL., SANTIAGO, CHILE.",-33.455262450000006,-70.68056679,987
"Avenida Santa Rosa  02057, SAN BERNARDO., MAIPO, CHILE.",-33.6295299,-70.6291642,589
"Avenida Santa Rosa  02057, SAN BERNARDO., MAIPO, CHILE.",-33.5830912,-70.60952440000001,140
"GABRIELA PONIENTE 3391, LA PINTANA., SANTIAGO, CHILE.",-33.461102399999994,-70.6811459,125
"GABRIELA PONIENTE 3391, LA PINTANA., SANTIAGO, CHILE.",-33.2593714,-70.74968659999998,776
"GABRIELA PONIENTE 3391, LA PINTANA., SANTIAGO, CHILE.",-33.4112423,-70.7228183,897
"GABRIELA PONIENTE 3391, LA PINTANA., SANTIAGO, CHILE.",-33.3624951,-70.76254250000002,270
"GABRIELA PONIENTE 3391, LA PINTANA., SANTIAGO, CHILE.",-33.636328000000006,-70.7201958,203
"GABRIELA PONIENTE 3391, LA PINTANA., SANTIAGO, CHILE.",-33.329180900000004,-70.7645715,321
"GABRIELA PONIENTE 3391, LA PINTANA., SANTIAGO, CHILE.",-33.24024230000001,-70.73530585,241
"GABRIELA PONIENTE 3391, LA PINTANA., SANTIAGO, CHILE.",-33.2512975,-70.76424229999998,695
