,y,x,osmid,highway,geometry
0,-34.1817609,-70.7574987,1272065345,,POINT (-70.7574987 -34.1817609)
1,-34.1361689,-70.7607795,1238279783,,POINT (-70.7607795 -34.1361689)
2,-34.1027832,-70.8093794,1238341144,,POINT (-70.8093794 -34.1027832)
3,-34.1934343,-70.7413101,7807274508,,POINT (-70.74131010000001 -34.1934343)
4,-34.1849734,-70.7495593,2941305350,,POINT (-70.7495593 -34.1849734)
5,-34.1427723,-70.7335,1868230789,,POINT (-70.73350000000001 -34.1427723)
6,-34.1444173,-70.7394563,1273189806,,POINT (-70.7394563 -34.1444173)
7,-34.1477149,-70.7050452,7590617358,,POINT (-70.7050452 -34.1477149)
8,-34.1785275,-70.7297354,436524371,,POINT (-70.7297354 -34.1785275)
9,-34.177788,-70.7716874,5157197617,,POINT (-70.7716874 -34.177788)
10,-34.166924,-70.7196496,420623605,,POINT (-70.7196496 -34.166924)
11,-34.1648217,-70.7327825,1272139422,,POINT (-70.7327825 -34.1648217)
12,-34.0921955,-70.8404593,1555700487,,POINT (-70.84045930000001 -34.0921955)
13,-34.1606401,-70.7437756,412865449,,POINT (-70.74377560000001 -34.1606401)
14,-34.1413543,-70.734916,5288847761,,POINT (-70.734916 -34.1413543)
15,-34.1834185,-70.7614637,1110717465,,POINT (-70.76146369999999 -34.1834185)
16,-34.1499707,-70.718836,440203434,,POINT (-70.718836 -34.1499707)
17,-34.1358427,-70.7382048,4902799901,,POINT (-70.73820480000001 -34.1358427)
18,-34.1572344,-70.7410673,412854814,,POINT (-70.7410673 -34.1572344)
19,-34.174307,-70.7039652,1273369642,,POINT (-70.7039652 -34.174307)
20,-34.1776274,-70.7588628,1100668429,,POINT (-70.7588628 -34.1776274)
21,-34.1815682,-70.8326131,8838896903,,POINT (-70.8326131 -34.1815682)
22,-34.137255,-70.7887762,314143323,,POINT (-70.7887762 -34.137255)
23,-34.1744487,-70.7135755,885821856,traffic_signals,POINT (-70.7135755 -34.1744487)
24,-34.1354808,-70.8461523,5294113432,,POINT (-70.8461523 -34.1354808)
25,-34.1675949,-70.7257424,1274713228,,POINT (-70.7257424 -34.1675949)
26,-34.1798566,-70.7572106,1100668689,,POINT (-70.75721059999999 -34.1798566)
27,-34.1556273,-70.732089,1272139526,,POINT (-70.732089 -34.1556273)
28,-34.1612425,-70.7389484,412200578,,POINT (-70.7389484 -34.1612425)
29,-34.179593,-70.7761723,5157197866,,POINT (-70.7761723 -34.179593)
30,-34.1443141,-70.7381086,1362518662,,POINT (-70.7381086 -34.1443141)
31,-34.1707523,-70.7292347,668807954,,POINT (-70.72923470000001 -34.1707523)
32,-34.1178226,-70.8514801,1238339914,,POINT (-70.8514801 -34.1178226)
33,-34.1547521,-70.7119799,4455734779,,POINT (-70.7119799 -34.1547521)
34,-34.1942491,-70.7181295,1536509871,,POINT (-70.7181295 -34.1942491)
35,-34.1552761,-70.7105567,4455734770,,POINT (-70.7105567 -34.1552761)
36,-34.1434741,-70.7378702,1273189983,,POINT (-70.7378702 -34.1434741)
37,-34.0726568,-70.8584225,314143227,,POINT (-70.8584225 -34.0726568)
38,-34.1758721,-70.760696,1100668245,,POINT (-70.760696 -34.1758721)
39,-34.1585625,-70.6952778,6143875822,,POINT (-70.6952778 -34.1585625)
40,-34.077955,-70.843943,314143255,,POINT (-70.843943 -34.077955)
41,-34.1570142,-70.7646175,3528618024,,POINT (-70.7646175 -34.1570142)
42,-34.1805146,-70.7655772,1100152965,,POINT (-70.7655772 -34.1805146)
43,-34.1699563,-70.7516858,821363782,traffic_signals,POINT (-70.7516858 -34.1699563)
44,-34.1723247,-70.7265365,1273320713,,POINT (-70.72653649999999 -34.1723247)
45,-34.1577319,-70.7618486,1377613230,,POINT (-70.76184859999999 -34.1577319)
46,-34.181369,-70.7684274,1110717565,,POINT (-70.76842739999999 -34.181369)
47,-34.1668585,-70.7255498,420612320,,POINT (-70.7255498 -34.1668585)
48,-34.1629323,-70.7075204,1272139408,traffic_signals,POINT (-70.70752040000001 -34.1629323)
49,-34.1677302,-70.7235881,1600486967,,POINT (-70.7235881 -34.1677302)
50,-34.1828732,-70.7871823,889964828,,POINT (-70.7871823 -34.1828732)
