DIRECCION,latitud,longitud,demanda,osmid
0,-33.4151866,-70.5741119,0,2868505835
1,-33.3694131,-70.4345915,58,3477618131
2,-33.3610028,-70.5431605,28,6074866590
3,-33.4293613,-70.6613602,63,9061372560
4,-33.3962131,-70.6659548,135,9133735355
5,-33.5006706,-70.5868591,130,9065034693
6,-33.4805378,-70.7938845,66,6080588656
7,-33.5148845,-70.6206632,67,9099457364
8,-33.3993464,-70.7755901,79,6116371480
9,-33.3782893,-70.4996511,25,9671402700
10,-33.5231945,-70.6856576,42,5766989237
11,-33.3303764,-70.5180974,27,9115485363
12,-33.4792715,-70.6044341,73,4758470999
13,-33.365461,-70.7039438,140,9594948939
14,-33.3881076,-70.5439722,126,2486323476
