DIRECCION,latitud,longitud,demanda,osmid
0,-33.4892324,-70.5995767,0,4431771613
1,-33.5684664,-70.587854,109,6025542210
2,-33.501612,-70.5705362,43,430553314
3,-33.4318857,-70.6483877,117,6023328758
4,-33.3547688,-70.5100286,96,6702063926
5,-33.4232775,-70.5592864,143,252992293
6,-33.3813903,-70.5585457,106,6015780660
7,-33.3409973,-70.2942933,26,3191739214
8,-33.4049481,-70.7288555,27,274484572
9,-33.4916651,-70.5246364,128,6027874084
10,-33.3926032,-70.6166763,46,253268086
11,-33.3788455,-70.5480708,132,5859156285
