DIRECCION,latitud,longitud,demanda,osmid
0,-33.4240504,-70.5909141,0,2503832154
1,-33.4785082,-70.7298011,45,288990926
2,-33.5566581,-70.7903775,113,5418350578
3,-33.4613142,-70.7018133,107,4401272074
4,-33.5417816,-70.5532253,92,6883719391
5,-33.3756822,-70.6029336,138,1977521837
6,-33.5770835,-70.629802,78,9588607007
7,-33.5842704,-70.6472618,133,4441376041
8,-33.5273155,-70.7841376,47,6541156927
9,-33.3966739,-70.5063198,38,5489780597
10,-33.3474245,-70.3318391,39,289982437
11,-33.4884838,-70.68731,30,5792864679
12,-33.35597,-70.6831268,105,3447919772
13,-33.56028,-70.6552072,42,1946045392
