DIRECCION,latitud,longitud,demanda,osmid
0,-33.4159629,-70.693372,0,9211381194
1,-33.3895439,-70.5485263,122,5324961676
2,-33.5146156,-70.7911136,60,266715699
3,-33.3353264,-70.5625154,76,2409032842
4,-33.4615883,-70.5684697,52,4514399531
5,-33.5017772,-70.7848451,37,7396553300
6,-33.3591022,-70.6654827,87,1395606949
7,-33.5187136,-70.5420381,131,6859176347
8,-33.5094098,-70.7150587,72,7946074676
9,-33.5120068,-70.7275576,49,9495859159
10,-33.3668306,-70.7002042,128,9595078897
11,-33.3206616,-70.5607006,73,286561283
12,-33.52187,-70.7612136,143,1930783020
13,-33.5603515,-70.6282503,35,9382551484
14,-33.4273126,-70.5825436,120,2489379893
