DIRECCION,latitud,longitud,demanda,osmid
0,-33.5493787,-70.6219556,0,9052185582
1,-33.365169,-70.5293841,33,6151657409
2,-33.3230676,-70.5358378,145,9620090295
3,-33.4456887,-70.5306755,90,3740544560
4,-33.4537167,-70.7328958,133,9200410954
5,-33.3680889,-70.6709931,92,4436976460
6,-33.3547627,-70.5014583,83,291669335
7,-33.3822861,-70.6045617,146,1977540023
8,-33.4443917,-70.8464536,79,8566250112
9,-33.5293921,-70.8253102,98,3113703884
10,-33.5117222,-70.7447482,147,9191954629
11,-33.3815394,-70.7228078,119,1069837162
12,-33.5660757,-70.6674818,139,1930529136
