DIRECCION,latitud,longitud,demanda,osmid
0,-33.3378516,-70.5304979,0,9620153749
1,-33.3870553,-70.6600802,101,4424150684
2,-33.3849493,-70.7775688,115,9012691045
3,-33.4119842,-70.8792801,33,8995097294
4,-33.4096625,-70.6129191,69,2652514072
5,-33.3708176,-70.5735809,149,5859910465
6,-33.4788288,-70.6398215,123,605180596
7,-33.4399668,-70.7455854,120,484900504
8,-33.5076981,-70.5970026,65,427973814
9,-33.4937667,-70.6673123,142,6317477077
10,-33.3649169,-70.7347598,52,2846011050
11,-33.4401359,-70.5172233,23,1268343793
12,-33.5372226,-70.5946604,50,1879337491
13,-33.4181178,-70.7213505,135,9201099036
14,-33.50078,-70.7141435,97,1863881228
15,-33.3528981,-70.5343658,92,9075222920
