DIRECCION,latitud,longitud,demanda,osmid
0,-33.4028359,-70.8723672,0,5404555950
1,-33.5902549,-70.6156022,101,9472908282
2,-33.4537768,-70.8536953,50,9005396280
3,-33.4049674,-70.566605,117,6253761398
4,-33.4303837,-70.6255312,104,13877484
5,-33.4182744,-70.5204995,31,6318869638
6,-33.4877968,-70.7296535,75,449804574
7,-33.4657261,-70.7463351,118,2158540335
8,-33.4132488,-70.7793749,100,8867215283
9,-33.5087569,-70.5479882,76,2487205269
10,-33.4492446,-70.6600176,99,9104562749
11,-33.5357684,-70.5614159,81,9359389979
12,-33.4694027,-70.66984,127,575459095
13,-33.3624116,-70.5638092,27,617962704
14,-33.5809585,-70.6778858,124,550861717
