DIRECCION,latitud,longitud,demanda,osmid
0,-33.3334931,-70.480075,0,658377564
1,-33.3939309,-70.5597008,148,4433212856
2,-33.4396602,-70.5247366,33,1114558068
3,-33.5301232,-70.5587154,106,2234780585
4,-33.511997,-70.7282132,123,5144240160
5,-33.4517695,-70.7301188,35,484825265
6,-33.5104692,-70.8272345,60,3144870808
7,-33.4457847,-70.5300984,131,6028236035
8,-33.4442005,-70.69493,129,267802973
9,-33.385095,-70.5033795,44,357557939
10,-33.5761376,-70.6406254,45,2028477233
11,-33.3567951,-70.7088867,22,4780147828
12,-33.4630369,-70.5930962,89,255471350
13,-33.4239708,-70.7329262,67,282129614
14,-33.4077696,-70.6037557,122,5534664400
15,-33.4840239,-70.6942768,103,9571934482
