DIRECCION,latitud,longitud,demanda,osmid
0,-33.355688,-70.7291398,0,8960615638
1,-33.5413273,-70.6255883,115,9390754780
2,-33.4168564,-70.7505876,90,288987411
3,-33.5442992,-70.776772,55,1930707205
4,-33.444134,-70.6610048,51,369951569
5,-33.3620552,-70.7217369,135,9109306884
6,-33.4433014,-70.7233038,77,5598812008
7,-33.4155816,-70.7832061,47,9601077336
8,-33.4564991,-70.5393573,42,4399515711
9,-33.4586804,-70.8425461,131,8566085226
10,-33.5168723,-70.7808353,107,1844786709
11,-33.5239546,-70.5724099,30,2223518309
12,-33.4495494,-70.6921721,136,9156550213
