DIRECCION,latitud,longitud,demanda,osmid
0,-33.3506979,-70.7178106,0,6520644239
1,-33.486564,-70.5754463,102,6013163792
2,-33.401918,-70.7241636,96,9223031049
3,-33.3974922,-70.5937683,84,5012454913
4,-33.4699875,-70.5841355,79,282822928
5,-33.4898353,-70.6311386,120,265683755
6,-33.5247083,-70.5732577,51,9269226573
7,-33.4484976,-70.7672404,63,6561841596
8,-33.4980458,-70.65803,134,4392214837
9,-33.4019624,-70.6388312,133,6376979813
10,-33.4497206,-70.8740232,96,3739803773
11,-33.4769652,-70.7323883,39,1972236306
12,-33.4943228,-70.5969171,84,9061557148
13,-33.3965048,-70.5314205,71,8523552000
14,-33.5600619,-70.5637226,110,605176364
15,-33.3927572,-70.6011647,120,2271196028
