DIRECCION,latitud,longitud,demanda,osmid
0,-33.4255253,-70.7071885,0,6498949086
1,-33.512941,-70.5720145,76,9281607207
2,-33.4697097,-70.5236626,73,2396881782
3,-33.4099781,-70.5746543,148,5993850085
4,-33.4104295,-70.7934566,36,2054404732
5,-33.367528,-70.5455608,44,4392139034
6,-33.4408705,-70.5951061,34,5331792271
7,-33.3847805,-70.5559044,57,5859381889
8,-33.5040881,-70.7958484,21,9125651220
9,-33.5271,-70.7761376,82,629369487
10,-33.5065354,-70.6534809,130,9030264758
11,-33.4762341,-70.596491,86,9291869531
