DIRECCION,latitud,longitud,demanda,osmid
0,-33.5260829,-70.571482,0,9282008961
1,-33.430038,-70.5712782,74,5792927359
2,-33.4808577,-70.725618,130,605139340
3,-33.3563607,-70.6654021,70,890511264
4,-33.4533553,-70.7193266,108,9078303652
5,-33.3925735,-70.5961234,69,5213362801
6,-33.4397186,-70.8349045,138,1321317798
7,-33.3985568,-70.6726694,69,4773745439
8,-33.4405977,-70.7663029,35,284137419
9,-33.3978723,-70.7000461,73,275500977
10,-33.3957041,-70.7541574,25,9233888071
11,-33.4498174,-70.612384,101,9064942275
