DIRECCION,latitud,longitud,demanda,osmid
0,-33.4962986,-70.6767105,0,276274070
1,-33.3555635,-70.7403304,21,9244149907
2,-33.3938467,-70.6175931,129,1948062969
3,-33.5030237,-70.7815863,73,5498175598
4,-33.5293209,-70.5993746,148,9393255450
5,-33.358501,-70.7411995,140,7424791886
6,-33.3614059,-70.5154906,118,6030736936
7,-33.5921133,-70.6192003,120,9451467002
8,-33.3600181,-70.5004226,41,291668836
9,-33.3601731,-70.6669526,40,6701144279
10,-33.4282652,-70.5650279,100,6272114184
11,-33.3489016,-70.4929946,86,6702063793
12,-33.3785695,-70.5432418,105,6022775157
13,-33.3917617,-70.5936903,49,9281718160
14,-33.5352731,-70.6638808,50,3740741235
