DIRECCION,latitud,longitud,demanda,osmid
0,-33.3933879,-70.673499,0,288705522
1,-33.4750864,-70.5941648,34,9291246381
2,-33.4096565,-70.60634,97,4474332418
3,-33.4433715,-70.6147882,81,5607711555
4,-33.5608383,-70.6192496,146,2413446143
5,-33.464167,-70.6916014,79,9077665356
6,-33.5451031,-70.6753505,42,9287062153
7,-33.5560625,-70.566758,147,9277089689
8,-33.4027905,-70.5162722,85,1878553884
9,-33.4786279,-70.6563424,52,3275193593
10,-33.3544182,-70.721162,78,4780124995
11,-33.3719388,-70.6358932,136,267820984
12,-33.3445062,-70.6621268,93,4088956765
13,-33.3826628,-70.5516,59,5325006421
