DIRECCION,latitud,longitud,demanda,osmid
0,-33.4581651,-70.8515033,0,9002600786
1,-33.4706394,-70.6074269,127,5902975486
2,-33.470285,-70.7091062,109,9170569837
3,-33.5125066,-70.5330386,37,7310307259
4,-33.4602456,-70.8187426,120,9007206798
5,-33.531542,-70.7933551,27,9125353998
6,-33.4884905,-70.6071193,39,276279834
7,-33.4425857,-70.5181611,147,8903601369
8,-33.3979335,-70.6783406,105,275526238
9,-33.4269513,-70.7570195,121,269844368
10,-33.4917019,-70.6264409,110,1749201748
11,-33.3920583,-70.5246168,55,264432639
12,-33.5576878,-70.5690788,121,9591564308
13,-33.4779381,-70.5303505,34,267328745
