DIRECCION,latitud,longitud,demanda,osmid
0,-33.323471,-70.537715,0,6538673585
1,-33.5373756,-70.5486457,51,6011031441
2,-33.3610886,-70.7376288,79,1575086865
3,-33.4806395,-70.5733293,71,4445865316
4,-33.419325,-70.5222058,127,1755133070
5,-33.4463345,-70.6512564,22,252524629
6,-33.5363028,-70.6603811,99,9039016875
7,-33.5448543,-70.7765089,66,2295355986
8,-33.3579148,-70.7412028,63,9247313883
9,-33.4308013,-70.7069162,106,267805891
10,-33.3348894,-70.5204799,76,4434644580
11,-33.4018383,-70.7351704,127,4777841053
12,-33.3430186,-70.5582916,40,7202030117
13,-33.4622142,-70.688274,84,7760132498
14,-33.5023264,-70.7946022,126,9125393247
15,-33.4829076,-70.6268777,78,9294406004
