DIRECCION,latitud,longitud,demanda,osmid
0,-33.4942143,-70.7811543,0,6522737805
1,-33.3644957,-70.6314886,117,267823755
2,-33.5384705,-70.546461,49,6943839055
3,-33.4608755,-70.7630238,129,7993677677
4,-33.5170674,-70.537147,96,2022542121
5,-33.4104782,-70.7105412,143,6711378513
6,-33.4101765,-70.5187504,60,263408674
7,-33.4446123,-70.7126605,60,9208690200
8,-33.4096787,-70.6048853,63,5534857193
9,-33.4828645,-70.7257459,66,9018463477
10,-33.5009268,-70.5984166,26,9284588712
11,-33.4626421,-70.7003102,115,3481551034
12,-33.4320147,-70.6516067,149,457473804
13,-33.3783211,-70.7642153,25,9012835405
