DIRECCION,latitud,longitud,demanda,osmid
0,-33.5121114,-70.7423649,0,5158190131
1,-33.4031244,-70.8563474,33,8995097433
2,-33.5183723,-70.5650387,71,9281462359
3,-33.4083652,-70.5533479,94,6253759834
4,-33.369846,-70.7278218,142,9249247426
5,-33.501842,-70.7865885,100,5503334565
6,-33.5141454,-70.5935652,58,3097731288
7,-33.3666864,-70.4899765,69,1378319008
8,-33.3648408,-70.4825995,73,267082476
9,-33.4441924,-70.7513389,34,5506034963
10,-33.4486453,-70.7763103,106,280304622
11,-33.4103607,-70.6930239,117,9580454937
12,-33.5256046,-70.6417036,62,9351463243
13,-33.3742898,-70.5489712,85,253434318
14,-33.4501358,-70.6920366,93,6556958329
