DIRECCION,latitud,longitud,demanda,osmid
0,-33.5180939,-70.6926259,0,308855716
1,-33.5206719,-70.6307707,59,9353983545
2,-33.4393938,-70.5808065,108,4479304184
3,-33.3974627,-70.5714123,120,2189697514
4,-33.3955716,-70.6797494,79,288707631
5,-33.4495091,-70.5168724,82,6028200469
6,-33.364353,-70.7327161,141,9239299020
7,-33.4976853,-70.6718546,47,768065288
8,-33.4524725,-70.6193811,49,5599526604
9,-33.3889472,-70.5370149,65,4390676337
10,-33.4972069,-70.5955078,51,457756305
11,-33.4107223,-70.5790122,77,4635868135
12,-33.4928272,-70.6112952,147,605172535
13,-33.5277124,-70.7902029,82,6541208801
