DIRECCION,latitud,longitud,demanda,osmid
0,-33.5599942,-70.6531701,0,605158900
1,-33.4923997,-70.751418,119,6556465484
2,-33.3920667,-70.6032761,100,502616491
3,-33.4328872,-70.6176341,114,247285792
4,-33.3575983,-70.7235345,97,1445208607
5,-33.46442,-70.8626331,31,9005269244
6,-33.3720658,-70.453493,139,9535389656
7,-33.4508047,-70.7160964,63,5768608123
8,-33.4273304,-70.7571419,27,9201488024
9,-33.3627932,-70.2551609,122,1348546221
10,-33.3764321,-70.6083214,148,3338197950
11,-33.4036521,-70.6079157,34,2832925130
