DIRECCION,latitud,longitud,demanda,osmid
0,-33.4602103,-70.5833353,0,430030227
1,-33.3480664,-70.3614309,96,5070305232
2,-33.5353234,-70.6174462,32,9356769225
3,-33.5541031,-70.6285521,96,9030108182
4,-33.4969127,-70.7738799,83,444184470
5,-33.3930067,-70.6309646,36,5402704983
6,-33.3732404,-70.6141343,114,1784179036
7,-33.410037,-70.5324392,57,263411843
8,-33.5892348,-70.609338,147,5578294211
9,-33.4718597,-70.6012406,50,4400498235
10,-33.5800025,-70.6780464,46,550870160
11,-33.5655495,-70.7856182,26,6222909775
12,-33.3684248,-70.7119456,44,1842665653
13,-33.4202447,-70.79423,115,2930241175
