DIRECCION,latitud,longitud,demanda,osmid
0,-33.4594655,-70.857277,0,9005886625
1,-33.5032589,-70.6179842,82,265682580
2,-33.5314935,-70.764982,35,444158300
3,-33.3933885,-70.690819,34,6010724317
4,-33.3756882,-70.6313927,62,266094745
5,-33.4295017,-70.616918,30,9408350708
6,-33.3858779,-70.6818618,45,9136323362
7,-33.354211,-70.7177295,111,9247377827
8,-33.51113,-70.6422648,116,277844646
9,-33.5184557,-70.6104776,116,966833774
10,-33.371119,-70.6923837,98,267816938
11,-33.5112146,-70.6179567,20,9265782205
12,-33.4286939,-70.5493591,40,6757995246
13,-33.4038894,-70.5192642,67,263409310
14,-33.5157235,-70.6815371,108,9503087280
15,-33.3728525,-70.6656916,107,6061208721
