DIRECCION,latitud,longitud,demanda,osmid
0,-33.4510988,-70.5860505,0,264843325
1,-33.4292309,-70.6618068,42,4389544886
2,-33.3683939,-70.425586,25,267185351
3,-33.5142801,-70.7533209,99,448811033
4,-33.4078154,-70.6019426,53,4243477254
5,-33.5312836,-70.7053189,137,9491009306
6,-33.4894559,-70.5838448,38,457755775
7,-33.4507761,-70.65219,27,4902581612
8,-33.41259,-70.5911511,89,6275778297
9,-33.5068968,-70.5617338,108,9279851282
10,-33.38671,-70.5549402,39,9297248110
11,-33.5424843,-70.554311,77,9359408517
12,-33.4246933,-70.7103088,133,9201342956
13,-33.3947851,-70.6543844,23,1103617388
