DIRECCION,latitud,longitud,demanda,osmid
0,-33.5143633,-70.5339775,0,4775825148
1,-33.3501483,-70.5102571,121,5296634706
2,-33.4561833,-70.7138681,137,5768608386
3,-33.4139774,-70.6050938,133,2627423621
4,-33.5047361,-70.7830402,67,5498175609
5,-33.3658665,-70.737076,140,2845992398
6,-33.4422859,-70.6419959,82,4390487114
7,-33.5082663,-70.6454616,63,277844183
8,-33.4070828,-70.6205757,45,4386585427
9,-33.3176401,-70.5438399,97,6077183650
10,-33.5118542,-70.7187078,137,4777762651
11,-33.3883972,-70.581267,98,253274199
12,-33.4702337,-70.5702523,30,514859596
13,-33.3207119,-70.553313,86,265059752
