DIRECCION,latitud,longitud,demanda,osmid
0,-33.5020032,-70.7950335,0,6985164236
1,-33.3392836,-70.4759211,84,903706444
2,-33.3545057,-70.7054165,104,4441354249
3,-33.46313,-70.643804,28,5683038545
4,-33.3891959,-70.5992355,117,2950249168
5,-33.5538901,-70.6199023,123,484717914
6,-33.4086901,-70.5404228,88,265053176
7,-33.3564379,-70.532419,105,9075222844
8,-33.389527,-70.5991215,118,2950228820
9,-33.4332899,-70.7474055,56,1843330712
10,-33.4657135,-70.8689453,127,9005924843
11,-33.4762284,-70.6847277,69,9198248215
12,-33.3923925,-70.6831593,145,5650462601
13,-33.3441097,-70.3459661,118,289982332
14,-33.3905418,-70.6009541,78,384148594
