DIRECCION,latitud,longitud,demanda,osmid
0,-33.4817355,-70.7423126,0,470619887
1,-33.5261897,-70.6077633,146,9393550769
2,-33.5679082,-70.6685804,26,582527878
3,-33.3903439,-70.5961869,144,6876717269
4,-33.4651472,-70.590114,113,9292033078
5,-33.537027,-70.6663525,98,9065450289
6,-33.3407583,-70.5674146,36,2407396633
7,-33.5084213,-70.6765053,78,9503446073
8,-33.3257951,-70.5047822,123,7997231257
9,-33.4567915,-70.8502598,98,9000957879
10,-33.475974,-70.7383382,76,9130663724
11,-33.441363,-70.5787745,71,1983805634
12,-33.4421083,-70.6437574,43,9057061480
13,-33.4158351,-70.6129798,117,9258984945
14,-33.4712177,-70.6012532,56,9701793567
15,-33.4289396,-70.5627892,48,5754391309
