DIRECCION,latitud,longitud,demanda,osmid
0,-33.3932096,-70.7545345,0,9013056610
1,-33.4359102,-70.6923122,59,289349317
2,-33.4808033,-70.6758402,73,1055665725
3,-33.5077476,-70.7047533,70,1747069834
4,-33.442701,-70.7800466,88,471271240
5,-33.4760732,-70.5849349,33,282823657
6,-33.5398025,-70.598828,52,1879335374
7,-33.4245763,-70.6119903,86,130954699
8,-33.3648741,-70.7589242,119,1445197833
9,-33.547224,-70.7754232,140,9189086127
10,-33.5465695,-70.7748552,49,2295349964
11,-33.4817463,-70.7252895,148,9194815370
12,-33.5625059,-70.61734,72,2414438704
