DIRECCION,latitud,longitud,demanda,osmid
0,-33.588832,-70.6263057,0,528105775
1,-33.4566937,-70.5295411,50,791312086
2,-33.3671311,-70.699646,37,6546391182
3,-33.4819452,-70.6867798,22,2361700221
4,-33.3733384,-70.5481677,101,2340942278
5,-33.3846864,-70.5755401,73,253287452
6,-33.453625,-70.6261149,141,4398295041
7,-33.5147286,-70.5968797,110,9287434196
8,-33.5553258,-70.6134966,41,2413260709
9,-33.4229551,-70.7386314,87,283004268
10,-33.4519687,-70.631091,143,9397536985
11,-33.3971682,-70.6410961,120,275532491
12,-33.3716725,-70.6340676,60,4433180314
13,-33.3490756,-70.7345581,39,472557184
