DIRECCION,latitud,longitud,demanda,osmid
0,-33.4976136,-70.7717579,0,444184671
1,-33.5650445,-70.7810722,36,4931884431
2,-33.5504376,-70.6194652,35,9382866937
3,-33.439562,-70.761652,140,9203560426
4,-33.4575051,-70.6142156,140,5885493999
5,-33.3657791,-70.5071736,146,1119960582
6,-33.4144861,-70.551836,140,6250260026
7,-33.4691015,-70.7612602,26,703039366
8,-33.4732943,-70.5871475,130,479436208
9,-33.4642624,-70.9304204,38,4509969208
10,-33.4273859,-70.5789321,31,252951888
11,-33.4184956,-70.6816073,113,6013520706
