DIRECCION,latitud,longitud,demanda,osmid
0,-33.5062642,-70.6306785,0,268729165
1,-33.4937052,-70.77386,77,1268357816
2,-33.4474475,-70.6901967,38,1740546074
3,-33.4711657,-70.5837282,97,605182810
4,-33.5902245,-70.611192,125,9472667016
5,-33.4920416,-70.6885662,70,3261912326
6,-33.3827043,-70.551712,74,240449349
7,-33.4532314,-70.8528297,135,9002519405
8,-33.3642188,-70.7402848,137,267445760
9,-33.4982841,-70.5194633,131,4479365117
10,-33.4222383,-70.7970588,112,8624362067
11,-33.3785695,-70.5432418,46,6022775157
12,-33.373683,-70.4676645,105,2572002942
