DIRECCION,latitud,longitud,demanda,osmid
0,-33.4333247,-70.6610432,0,6765093412
1,-33.5504031,-70.5664985,28,9357041605
2,-33.4524982,-70.7088096,107,9168374765
3,-33.4515289,-70.6913868,49,9156550190
4,-33.5119317,-70.5263657,56,4870700334
5,-33.490224,-70.5997083,48,515257831
6,-33.3861761,-70.68599,89,4431297009
7,-33.4544343,-70.8535437,33,9002600820
8,-33.3626707,-70.5015152,75,9258864299
9,-33.485333,-70.561098,30,2450024649
10,-33.4275934,-70.6660634,145,4389886461
11,-33.5113119,-70.5215473,38,7310685479
12,-33.3772321,-70.5135463,81,6074977580
