DIRECCION,latitud,longitud,demanda,osmid
0,-33.3756279,-70.4709146,0,2572002768
1,-33.3651094,-70.8141254,78,8994753900
2,-33.489571,-70.7463595,119,1390453582
3,-33.5358206,-70.7708373,144,5376906964
4,-33.5093264,-70.7086012,146,7416458307
5,-33.441527,-70.7073819,98,552085179
6,-33.3901256,-70.5710368,73,4446629131
7,-33.5062259,-70.57499,44,430556170
8,-33.3452237,-70.523931,112,264195537
9,-33.4320942,-70.7851425,105,5755401593
10,-33.4536704,-70.7577791,120,1138566007
11,-33.5250065,-70.5810691,22,4504740653
12,-33.3369082,-70.6923913,139,9061082608
