DIRECCION,latitud,longitud,demanda,osmid
0,-33.4370926,-70.5358632,0,9080849479
1,-33.4902923,-70.6176561,124,7108291094
2,-33.4229531,-70.5488099,91,265047653
3,-33.5424645,-70.6492082,105,364211877
4,-33.470584,-70.6228096,131,265677638
5,-33.4487332,-70.865869,22,7157373541
6,-33.5400033,-70.6716967,21,6074757397
7,-33.5101472,-70.7745048,76,605115549
8,-33.5080989,-70.58871,73,4232099491
9,-33.4526721,-70.7130884,146,1841384214
10,-33.4588394,-70.7518577,56,443888066
11,-33.4651996,-70.6414527,96,265669427
12,-33.5160461,-70.7914587,60,9186287304
13,-33.4714201,-70.7362787,131,470620048
14,-33.4933442,-70.6169455,102,6013561237
