DIRECCION,latitud,longitud,demanda,osmid
0,-33.4929812,-70.5800883,0,4494843292
1,-33.5777633,-70.6383473,42,9074783317
2,-33.4634268,-70.7009357,33,4473950023
3,-33.4058865,-70.7401286,34,9234038112
4,-33.3644261,-70.8011287,140,9012702755
5,-33.4077102,-70.5577876,88,390998455
6,-33.3825975,-70.7251109,143,2847190431
7,-33.3940779,-70.7004567,79,5655158076
8,-33.4462316,-70.6452482,37,4448209086
9,-33.5516809,-70.6500538,119,364208567
10,-33.4213981,-70.7898991,40,6313340675
11,-33.3433224,-70.3369845,89,1348797506
12,-33.4374473,-70.5570927,37,6003981975
13,-33.4265927,-70.5353752,129,337866929
14,-33.5353414,-70.5579624,28,9270701116
15,-33.5438147,-70.7683495,133,9181605660
