DIRECCION,latitud,longitud,demanda,osmid
0,-33.4998906,-70.5894283,0,1365105168
1,-33.3314834,-70.5316,106,6123872930
2,-33.4574138,-70.5572016,119,9319666245
3,-33.4699818,-70.6156922,77,9294920648
4,-33.5154753,-70.7044725,109,1519304612
5,-33.4739728,-70.5846973,34,7441046696
6,-33.4635011,-70.6458673,68,5683038560
7,-33.5088473,-70.782029,53,267000834
8,-33.3648971,-70.5129723,98,2951967386
9,-33.419535,-70.7102806,98,9201342992
10,-33.4575112,-70.9025746,134,243646448
11,-33.4172264,-70.6118718,65,9071361940
12,-33.3222299,-70.5364537,126,6538672443
13,-33.5184161,-70.5733199,28,2223428329
14,-33.502272,-70.7399725,124,9195101643
