DIRECCION,latitud,longitud,demanda,osmid
0,-33.4079989,-70.7918148,0,243651725
1,-33.4037701,-70.5134455,93,4505188831
2,-33.3584189,-70.5099877,32,9072210770
3,-33.3415857,-70.4980177,143,9112294770
4,-33.4303329,-70.7232636,141,275517947
5,-33.4068946,-70.7281445,131,9102508576
6,-33.4571031,-70.854455,114,9002600772
7,-33.4942625,-70.7251452,20,1856518978
8,-33.5825825,-70.6666336,26,2508445074
9,-33.4153615,-70.7088351,55,9201343004
10,-33.4664296,-70.6517267,91,9344938390
11,-33.5319233,-70.5995116,86,1262306895
