DIRECCION,latitud,longitud,demanda,osmid
0,-33.3657791,-70.5071736,0,1119960582
1,-33.5357048,-70.598178,42,9262795989
2,-33.3952693,-70.5175712,79,6077285196
3,-33.5655197,-70.6818055,119,9509376658
4,-33.4189579,-70.7056059,58,4403482236
5,-33.5597724,-70.7834493,31,4861027484
6,-33.4851463,-70.63068,115,6247960823
7,-33.3414598,-70.4979687,133,264445946
8,-33.4253661,-70.7143014,87,6498949087
9,-33.5253694,-70.651471,58,9287382851
10,-33.5412756,-70.6443783,29,470357643
11,-33.4217539,-70.727271,119,9201095991
