DIRECCION,latitud,longitud,demanda,osmid
0,-33.3911769,-70.6616038,0,288697899
1,-33.3538565,-70.5153149,101,9609897134
2,-33.4580214,-70.7076799,148,4403544714
3,-33.405579,-70.509774,38,5328271379
4,-33.5034786,-70.6233308,98,9283922001
5,-33.3334512,-70.7126985,128,6932422685
6,-33.4532264,-70.5431818,145,6014094859
7,-33.533324,-70.5466176,71,9531182208
8,-33.3969911,-70.7526963,41,1761799438
9,-33.4460612,-70.6286677,61,9083035865
10,-33.5027439,-70.7380345,70,9194457112
11,-33.5459764,-70.7803832,108,9189077742
12,-33.4284467,-70.7833507,25,9603203330
13,-33.5337073,-70.5531076,122,9531182134
14,-33.3725853,-70.6881517,40,267816376
