DIRECCION,latitud,longitud,demanda,osmid
0,-33.3455619,-70.6677544,0,4436481086
1,-33.4933791,-70.5552269,109,1398385888
2,-33.3461947,-70.6789107,124,2026850482
3,-33.4040125,-70.6076191,103,5180939440
4,-33.390239,-70.6512532,96,280164698
5,-33.5487799,-70.589679,87,1878620584
6,-33.4452231,-70.6573464,148,386234
7,-33.4232869,-70.7040883,120,282130776
8,-33.4616134,-70.673519,85,9342156687
9,-33.3843282,-70.7577963,122,9012834756
10,-33.5020242,-70.537592,109,7737722763
11,-33.5644353,-70.6716144,61,4440986297
