DIRECCION,latitud,longitud,demanda,osmid
0,-33.364868,-70.5130025,0,6577697868
1,-33.4906946,-70.6799901,62,276270427
2,-33.5161987,-70.6285569,116,9351489861
3,-33.382927,-70.5377356,71,2811967524
4,-33.5519889,-70.5944033,38,8023558755
5,-33.4706542,-70.6675652,93,9081226923
6,-33.4558398,-70.7130628,48,4764330615
7,-33.5376341,-70.6261529,131,9387053294
8,-33.515848,-70.5383474,59,267311912
9,-33.4979608,-70.6582997,51,4392214845
10,-33.5665698,-70.6130824,60,9139025285
11,-33.4454824,-70.6710631,91,6809887196
12,-33.5207,-70.6036281,126,425902896
13,-33.4417834,-70.7621663,128,9203560419
14,-33.3658897,-70.4981101,22,264190095
15,-33.379748,-70.6402894,123,1974484919
