DIRECCION,latitud,longitud,demanda,osmid
0,-33.4361399,-70.5891324,0,5329476321
1,-33.4066515,-70.6957461,24,275498563
2,-33.3534688,-70.6152584,26,4998914338
3,-33.4192161,-70.5846417,133,4402844150
4,-33.5364192,-70.6251725,66,405830144
5,-33.4349659,-70.7804035,94,1046856659
6,-33.5390654,-70.5813116,39,5929353167
7,-33.5062049,-70.5789944,71,605173102
8,-33.3668271,-70.5742658,138,264181975
9,-33.5467673,-70.6380543,86,9028024805
10,-33.3488956,-70.6750306,87,4781657552
11,-33.4081692,-70.5460446,29,6250260047
12,-33.5545101,-70.5770117,108,5560750731
13,-33.4616408,-70.8537483,64,9002743169
14,-33.4941747,-70.7056156,69,9550526904
