DIRECCION,latitud,longitud,demanda,osmid
0,-33.5844884,-70.6096296,0,9472883593
1,-33.3868395,-70.5018705,123,263428672
2,-33.4515444,-70.7629585,115,1138577868
3,-33.4575567,-70.8471317,126,9002261790
4,-33.4207444,-70.5306652,35,4779409578
5,-33.3561697,-70.5192896,88,7931953603
6,-33.3572379,-70.7038494,33,9595486851
7,-33.4867966,-70.7647341,75,1768764938
8,-33.4742563,-70.5505695,142,284143768
9,-33.4426799,-70.7926681,53,471749833
10,-33.4479764,-70.6902393,112,2318567355
11,-33.3887413,-70.5996218,116,1973914733
