DIRECCION,latitud,longitud,demanda,osmid
0,-33.3388709,-70.5610221,0,9607610326
1,-33.4157254,-70.565083,37,4483748888
2,-33.5301255,-70.7886958,116,4038620395
3,-33.5307739,-70.6345971,123,6094004114
4,-33.5572818,-70.6515427,104,4514492198
5,-33.4214067,-70.6193084,39,5852834901
6,-33.4117701,-70.6067142,104,5583392452
7,-33.5203514,-70.5260409,141,6071685747
8,-33.3488317,-70.6729955,79,1601884203
9,-33.4961977,-70.6149542,62,148808242
10,-33.5307271,-70.5436599,128,1905994221
11,-33.4639031,-70.8568188,77,9002743093
