DIRECCION,latitud,longitud,demanda,osmid
0,-33.5610119,-70.6336895,0,4515786330
1,-33.4898755,-70.7820132,47,7441295673
2,-33.4276352,-70.5571658,89,240452395
3,-33.4274015,-70.6013972,40,6077969726
4,-33.4594227,-70.5334317,67,427995542
5,-33.4705323,-70.7182459,40,9170668285
6,-33.3300348,-70.5344509,124,9619777575
7,-33.4010694,-70.72682,141,275508634
8,-33.542932,-70.7862545,111,1524672606
9,-33.5569272,-70.5858298,53,1865701359
10,-33.39306,-70.5517321,57,254249087
11,-33.5060421,-70.5702765,43,430555673
12,-33.4071549,-70.7057125,146,2942844996
