DIRECCION,latitud,longitud,demanda,osmid
0,-33.402151,-70.5873186,0,2505280519
1,-33.4944036,-70.6731457,121,3260880860
2,-33.396991,-70.7454182,78,1754947372
3,-33.452873,-70.7467608,137,1382931506
4,-33.5347197,-70.7912145,55,266729232
5,-33.4733418,-70.7026458,108,9198280009
6,-33.3623096,-70.7261122,122,9109306866
7,-33.412541,-70.7821057,77,6093965946
8,-33.5250632,-70.5598295,129,9268956650
9,-33.3829925,-70.5906853,126,2950522224
10,-33.4505817,-70.8341045,23,3114786537
11,-33.4894559,-70.5838448,98,457755775
12,-33.5334996,-70.5780893,59,2234797655
13,-33.3623977,-70.7442277,74,1842143202
