DIRECCION,latitud,longitud,demanda,osmid
0,-33.4469371,-70.6647268,0,4401442531
1,-33.4722808,-70.6551863,55,3903870851
2,-33.529315,-70.6707425,136,282820922
3,-33.5470494,-70.5959243,69,9362948627
4,-33.532831,-70.781773,41,5638298935
5,-33.4129975,-70.5516761,132,6260514108
6,-33.3487731,-70.7346073,61,267451091
7,-33.3447582,-70.5510104,69,264208943
8,-33.4906138,-70.7628567,28,605122670
9,-33.3799316,-70.5560997,33,250447542
10,-33.3903126,-70.5608718,54,6077739556
11,-33.3459211,-70.362138,144,1348833651
