DIRECCION,latitud,longitud,demanda,osmid
0,-33.4176093,-70.6159207,0,9258948713
1,-33.5723842,-70.68218,92,277053775
2,-33.5371514,-70.6654015,56,9065450305
3,-33.4708524,-70.6876617,51,6104000640
4,-33.5562567,-70.6217619,98,2390120600
5,-33.5383713,-70.683239,85,9287279926
6,-33.3995411,-70.5411279,20,662887302
7,-33.3479917,-70.6647093,67,783648753
8,-33.3909623,-70.6357015,55,275536936
9,-33.5083222,-70.5462403,23,2487205333
10,-33.462511,-70.6309682,45,9102931282
11,-33.5310745,-70.5971385,82,9359669373
12,-33.5452875,-70.6335188,79,2695824468
13,-33.4298886,-70.742989,30,5516358390
14,-33.3948941,-70.5501813,43,254248342
15,-33.3847637,-70.6631105,89,605196705
